rot_x,rot_y,rot_z,running_mean_x,running_mean_y,running_mean_z
0.941853,-0.023945,-0.335171,0.025661,-0.054480,0.127734
0.246149,0.318878,0.915274,0.027344,-0.051630,0.133746
0.563534,-0.558818,0.608401,0.031406,-0.055472,0.137342
-0.624385,-0.768112,-0.141943,0.026475,-0.060830,0.135242
-0.654562,-0.580606,0.484195,0.021393,-0.064709,0.137846
0.355167,-0.362989,0.861450,0.023865,-0.066919,0.143206
0.172974,0.900704,-0.398512,0.024961,-0.059804,0.139223
0.759159,0.641666,-0.109283,0.030321,-0.054683,0.137409
0.214348,0.724727,-0.654848,0.031654,-0.049036,0.131668
-0.656672,0.061123,-0.751695,0.026702,-0.048243,0.125313
0.240230,0.921533,0.305069,0.028227,-0.041316,0.126597
0.604583,0.793887,-0.064978,0.032315,-0.035393,0.125238
-0.477054,0.814384,-0.330451,0.028728,-0.029408,0.122029
-0.173595,-0.438748,-0.881683,0.027313,-0.032271,0.115010
0.001100,0.493858,0.869542,0.027131,-0.028617,0.120250
-0.520392,0.443619,0.729653,0.023355,-0.025360,0.124453
0.449646,-0.144190,-0.881492,0.026275,-0.026174,0.117562
0.873280,0.244351,-0.421515,0.032037,-0.024334,0.113895
-0.772137,0.041465,0.634102,0.026603,-0.023889,0.117410
-0.731503,-0.205557,0.650115,0.021515,-0.025109,0.120985
-0.167945,0.213860,-0.962319,0.020252,-0.023515,0.113763
0.701591,-0.286916,-0.652264,0.024764,-0.025260,0.108690
-0.240710,-0.717145,-0.654034,0.023018,-0.029812,0.103672
0.635603,-0.374138,0.675300,0.027021,-0.032062,0.107409
-0.731613,-0.680732,-0.036701,0.022095,-0.036274,0.106473
0.220663,-0.737804,-0.637928,0.023376,-0.040800,0.101670
0.790546,0.222923,-0.570388,0.028294,-0.039110,0.097362
0.847920,-0.315698,-0.425872,0.033515,-0.040872,0.094029
-0.648021,-0.673567,-0.355493,0.029201,-0.044876,0.091184
0.561822,0.820814,-0.103056,0.032551,-0.039431,0.089963
0.181536,0.169122,0.968732,0.033482,-0.038128,0.095455
0.843318,0.516720,-0.147700,0.038512,-0.034682,0.093945
0.832485,0.500610,-0.237400,0.043413,-0.031377,0.091899
-0.716598,0.115739,0.687816,0.038751,-0.030475,0.095555
-0.910999,-0.393666,-0.122917,0.032959,-0.032689,0.094223
-0.737146,0.383064,0.556667,0.028292,-0.030170,0.097026
0.185633,-0.956470,0.225177,0.029240,-0.035750,0.097798
0.653469,-0.738843,-0.164587,0.032978,-0.039960,0.096227
0.537319,0.792222,0.289261,0.035980,-0.035006,0.097376
-0.578022,-0.806468,-0.124496,0.032347,-0.039571,0.096063
0.628178,-0.383812,0.676816,0.035852,-0.041596,0.099479
-0.865189,0.446189,0.228829,0.030582,-0.038744,0.100235
0.572827,0.781826,-0.246205,0.033735,-0.033973,0.098221
0.358238,-0.911711,0.201119,0.035611,-0.039047,0.098816
-0.370875,-0.615802,-0.695155,0.033275,-0.042361,0.094253
0.010690,0.231272,0.972830,0.033146,-0.040798,0.099273
0.396458,0.555059,-0.731252,0.035210,-0.037412,0.094555
-0.179259,-0.599193,-0.780278,0.033998,-0.040586,0.089612
-0.394404,-0.801981,-0.448634,0.031591,-0.044864,0.086588
-0.465430,-0.697837,0.544426,0.028815,-0.048511,0.089146
0.993334,-0.100749,0.056014,0.034173,-0.048802,0.088962
-0.796184,0.428456,0.427219,0.029586,-0.046165,0.090831
0.307592,-0.874329,-0.375413,0.031113,-0.050715,0.088269
0.904372,0.167729,-0.392400,0.035885,-0.049522,0.085642
0.114275,0.206336,0.971785,0.036311,-0.048131,0.090458
0.431143,-0.899565,-0.069992,0.038445,-0.052733,0.089591
-0.787847,0.546715,-0.283549,0.034003,-0.049511,0.087585
-0.796362,0.167554,-0.581148,0.029562,-0.048350,0.084009
-0.702779,-0.097965,0.704631,0.025667,-0.048614,0.087310
