rot_x,rot_y,rot_z,running_mean_x,running_mean_y,running_mean_z
-0.165418,0.721973,-0.671857,-0.001434,-0.044799,0.077707
-0.724387,-0.181492,0.665075,-0.005384,-0.045546,0.080917
0.749164,0.618593,-0.236848,-0.001283,-0.041937,0.079190
-0.139556,0.609279,0.780579,-0.002031,-0.038416,0.082981
0.959468,-0.278937,-0.040194,0.003139,-0.039710,0.082319
0.920216,-0.391278,-0.010181,0.008043,-0.041590,0.081824
0.107725,0.211755,-0.971368,0.008573,-0.040242,0.076222
-0.334089,-0.796679,-0.503674,0.006760,-0.044244,0.073154
-0.163650,0.087307,0.982648,0.005863,-0.043552,0.077941
-0.892030,0.019362,-0.451562,0.001162,-0.043223,0.075169
0.951281,0.055232,0.303337,0.006111,-0.042710,0.076357
0.981409,0.066903,-0.179889,0.011164,-0.042142,0.075029
-0.386306,0.300200,-0.872151,0.009115,-0.040377,0.070147
-0.948715,0.255667,-0.185940,0.004203,-0.038859,0.068834
-0.892948,0.342921,-0.291632,-0.000374,-0.036911,0.066995
0.263132,-0.393918,-0.880676,0.000964,-0.038723,0.062184
-0.634480,0.735706,-0.237005,-0.002246,-0.034812,0.060673
-0.954959,-0.249420,0.160759,-0.007033,-0.035891,0.061176
-0.908761,-0.352154,0.223921,-0.011542,-0.037472,0.061990
-0.559803,-0.353887,-0.749257,-0.014270,-0.039046,0.057954
-0.325188,0.856681,0.400438,-0.015809,-0.034612,0.059649
-0.452766,-0.504579,-0.735121,-0.017961,-0.036927,0.055734
0.204549,-0.916289,-0.344345,-0.016871,-0.041237,0.053773
0.752048,-0.617310,-0.230980,-0.013120,-0.044048,0.052384
0.506019,0.807222,-0.303870,-0.010600,-0.039915,0.050654
-0.631536,-0.610052,-0.478538,-0.013599,-0.042670,0.048098
0.658804,0.231886,0.715686,-0.010367,-0.041350,0.051307
0.466732,-0.753287,-0.463379,-0.008084,-0.044756,0.048845
-0.672018,0.713857,0.196976,-0.011245,-0.041143,0.049550
0.322268,0.766513,-0.555518,-0.009665,-0.037316,0.046683
-0.594167,0.280098,-0.753996,-0.012422,-0.035818,0.042906
