iter,rot_x,rot_y,rot_z,rot_w,mean_x,mean_y,mean_z,mean_w,roll,pitch,yaw,mean_roll,mean_pitch,mean_yaw,success_rate
66,0.889158,-0.258035,0.377910,0.142710,-0.022532,0.231278,-0.180933,0.302872,2.902633,-0.387538,-0.282443,0.457040,0.203459,0.617823,0.923077
67,0.601880,-0.418583,0.680094,0.180823,-0.013212,0.221579,-0.168082,0.301051,2.979542,-0.747891,-0.607672,0.494690,0.189259,0.599532,0.928571
68,0.190328,-0.451675,0.871645,0.206730,-0.010219,0.211678,-0.152792,0.299663,-2.943458,-1.058548,-1.171993,0.444129,0.170909,0.573480,0.928571
69,-0.256153,-0.344357,0.903219,0.217857,-0.013783,0.203619,-0.137487,0.298478,-2.074043,-1.127211,-2.210355,0.407634,0.152096,0.533134,0.928571
70,-0.640889,-0.128887,0.756736,0.212419,-0.022742,0.198869,-0.124713,0.297248,-1.478640,-0.858306,-2.943134,0.380687,0.137662,0.483474,0.928571
71,-0.883473,0.121706,0.452397,0.189325,-0.034865,0.197782,-0.116584,0.295728,-1.244907,-0.469451,3.004696,0.357791,0.129111,0.518984,0.928571
72,-0.947781,0.315164,0.048806,0.148440,-0.047544,0.199413,-0.114287,0.293683,-1.111633,-0.048826,2.820567,0.337382,0.126639,0.550950,0.933333
73,-0.851599,0.371674,-0.369646,0.090457,-0.058559,0.201772,-0.117785,0.290899,-0.979195,0.378628,2.730070,0.319347,0.130091,0.580801,0.933333
74,-0.657593,0.252818,-0.709686,0.017151,-0.066654,0.202462,-0.125784,0.287200,-0.755769,0.789053,2.774555,0.304818,0.138996,0.610446,0.933333
75,-0.447362,-0.022260,-0.894076,-0.069209,-0.071730,0.199466,-0.136028,0.282447,-0.183602,1.106363,-3.091875,0.298306,0.151894,0.561082,0.933333
76,-0.290862,-0.382128,-0.877142,-0.165999,-0.074613,0.191813,-0.145779,0.276547,0.827934,1.069878,-2.221403,0.305275,0.163973,0.524470,0.933333
77,-0.223075,-0.718647,-0.658623,-0.268804,-0.076541,0.179989,-0.152440,0.269464,1.306258,0.718987,-1.871776,0.318275,0.171181,0.493350,0.937500
78,-0.229324,-0.930987,-0.284032,-0.374154,-0.078500,0.165746,-0.154127,0.261213,1.481765,0.287997,-1.812312,0.333191,0.172679,0.463791,0.937500
79,-0.256600,-0.952730,0.162673,-0.477368,-0.080754,0.151588,-0.150117,0.251864,1.555569,-0.163399,-1.833885,0.348664,0.168425,0.434706,0.937500
80,-0.237335,-0.777007,0.583036,0.574542,-0.082712,0.139981,-0.140952,0.255897,1.570553,-0.622461,-1.867244,0.363938,0.158539,0.405932,0.937500
81,-0.120189,-0.457703,0.880944,0.661100,-0.083174,0.132602,-0.128336,0.260900,1.480173,-1.077854,-1.827591,0.377719,0.143274,0.378357,0.937500
82,0.105790,-0.088048,0.990483,0.733462,-0.080870,0.129911,-0.114692,0.266663,0.280028,-1.432721,-0.694119,0.376527,0.124055,0.365278,0.941176
83,0.400465,0.228517,0.887360,0.787951,-0.075071,0.131099,-0.102619,0.272943,-1.006180,-1.091587,0.518544,0.359868,0.109409,0.367125,0.941176
84,0.686607,0.417621,0.595117,0.821982,-0.066003,0.134510,-0.094313,0.279479,-1.108697,-0.637411,0.546456,0.342385,0.100518,0.369260,0.941176
85,0.872965,0.453460,0.179743,0.833383,-0.054956,0.138262,-0.091089,0.285996,-1.110663,-0.180725,0.479085,0.325291,0.097209,0.370552,0.941176
86,0.890620,0.366340,-0.269427,0.821006,-0.043961,0.140914,-0.093162,0.292217,-1.076389,0.272798,0.390236,0.308992,0.099251,0.370781,0.941176
87,0.751618,0.245449,-0.612230,0.790938,-0.034817,0.142116,-0.099129,0.297949,-1.019156,0.658877,0.315644,0.293726,0.105683,0.370147,0.944444
88,0.742343,0.240021,-0.625553,0.789193,-0.025985,0.143229,-0.105111,0.303532,-1.015781,0.675840,0.312720,0.278845,0.112163,0.369494,0.944444
89,0.742343,0.240021,-0.625553,0.789193,-0.017352,0.144316,-0.110958,0.308989,-1.015781,0.675840,0.312720,0.264299,0.118496,0.368857,0.944444
90,0.742343,0.240021,-0.625553,0.789193,-0.008911,0.145379,-0.116676,0.314324,-1.015781,0.675840,0.312720,0.250076,0.124689,0.368233,0.944444
91,0.742343,0.240021,-0.625553,0.789193,-0.000656,0.146419,-0.122268,0.319543,-1.015781,0.675840,0.312720,0.236165,0.130745,0.367623,0.944444
92,0.748913,0.251834,-0.612951,0.793150,0.007492,0.147565,-0.127602,0.324690,-1.004587,0.659791,0.324388,0.222679,0.136496,0.367153,0.947368
93,0.818959,0.434904,-0.374386,0.840190,0.016217,0.150655,-0.130255,0.330233,-0.888920,0.383735,0.488174,0.210726,0.139154,0.368454,0.947368
