iter,rot_x,rot_y,rot_z,rot_w,mean_x,mean_y,mean_z,mean_w,roll,pitch,yaw,mean_roll,mean_pitch,mean_yaw,a_x,a_y,a_z,a_mag,alpha_x,alpha_y,alpha_z,alpha_mag,success_rate
35,0.276091,0.923754,-0.265429,0.476795,0.324013,0.333880,0.548419,0.234661,2.062948,0.268649,1.280368,0.329836,-0.667556,0.739264,-0.001727,0.001632,-0.000066,0.002377,0.003163,0.005802,-0.000118,0.006609,0.857143
36,0.291722,0.888931,-0.353128,0.490786,0.323116,0.349298,0.523376,0.241776,2.090483,0.360912,1.253699,0.378743,-0.638987,0.753554,-0.001623,0.001781,-0.000041,0.002410,0.003546,0.005595,-0.000185,0.006627,0.857143
37,0.299621,0.848304,-0.436587,0.500738,0.322481,0.362784,0.497431,0.248775,2.123406,0.451801,1.231274,0.425896,-0.609506,0.766466,-0.001503,0.001926,-0.000014,0.002443,0.003927,0.005354,-0.000249,0.006644,0.875000
38,0.299160,0.803410,-0.514817,0.506566,0.321867,0.374380,0.470793,0.255559,2.162766,0.540794,1.214340,0.471603,-0.579235,0.778252,-0.001304,0.002083,0.000044,0.002458,0.004431,0.004950,-0.000244,0.006648,0.875000
39,0.289942,0.755579,-0.587396,0.508243,0.321049,0.384154,0.443660,0.262038,2.210250,0.627837,1.204390,0.516184,-0.548285,0.789178,-0.001300,0.002162,-0.000000,0.002523,0.004451,0.004938,-0.000474,0.006665,0.875000
40,0.271881,0.706625,-0.653270,0.505737,0.319820,0.392216,0.416237,0.268130,2.267617,0.711896,1.203497,0.559969,-0.516780,0.799536,-0.000989,0.002322,0.000097,0.002526,0.005087,0.004296,-0.000375,0.006670,0.875000
41,0.245107,0.658044,-0.711969,0.499061,0.317997,0.398700,0.388720,0.273763,2.337534,0.792299,1.214239,0.603325,-0.484851,0.809651,-0.000892,0.002404,0.000087,0.002566,0.005224,0.004094,-0.000528,0.006659,0.875000
42,0.209847,0.611194,-0.763155,0.488191,0.315422,0.403759,0.361294,0.278868,2.423708,0.868182,1.240067,0.646667,-0.452636,0.819899,-0.000865,0.002494,0.000046,0.002640,0.005279,0.004075,-0.000764,0.006712,0.888889
43,0.167046,0.567953,-0.805931,0.473274,0.311972,0.407577,0.334149,0.283389,2.529395,0.937246,1.284743,0.690451,-0.420314,0.830709,-0.000384,0.002589,0.000194,0.002625,0.005944,0.003024,-0.000530,0.006690,0.888889
44,0.117472,0.529498,-0.840138,0.454359,0.307551,0.410348,0.307461,0.287275,2.659051,0.997538,1.352477,0.735192,-0.388090,0.842568,-0.000321,0.002640,0.000157,0.002664,0.005937,0.002915,-0.000748,0.006656,0.888889
45,0.062229,0.497038,-0.865495,0.431556,0.302100,0.412275,0.281395,0.290481,2.815668,1.046137,1.446244,0.781425,-0.356218,0.855983,-0.000128,0.002689,0.000173,0.002698,0.006097,0.002520,-0.000837,0.006650,0.888889
46,0.002358,0.471506,-0.881860,0.404885,0.295584,0.413562,0.256107,0.292968,2.999290,1.079792,1.565796,0.829640,-0.325000,0.871413,-0.000054,0.002760,0.000138,0.002764,0.006144,0.002435,-0.001070,0.006695,0.888889
47,-0.060367,0.453883,-0.889014,0.374642,0.288010,0.414420,0.231743,0.294706,-3.081697,1.095188,1.703021,0.746420,-0.294784,0.889107,0.000364,0.002735,0.000239,0.002769,0.006424,0.001488,-0.000922,0.006658,0.900000
48,-0.124317,0.444700,-0.887010,0.341051,0.279420,0.415051,0.208435,0.295671,-2.875452,1.090829,1.843391,0.670964,-0.265917,0.908988,0.000604,0.002708,0.000265,0.002787,0.006467,0.000968,-0.000965,0.006610,0.900000
49,-0.188113,0.444222,-0.875946,0.304183,0.269879,0.415646,0.186305,0.295845,-2.680369,1.067393,1.971367,0.602569,-0.238706,0.930669,0.000679,0.002742,0.000224,0.002834,0.006434,0.000897,-0.001214,0.006608,0.900000
50,-0.249876,0.452493,-0.856045,0.264378,0.259483,0.416383,0.165458,0.295216,-2.508195,1.027568,2.075344,0.540354,-0.213381,0.953563,0.001012,0.002648,0.000285,0.002849,0.006458,0.000135,-0.001145,0.006560,0.900000
51,-0.308141,0.469311,-0.827524,0.221754,0.248354,0.417421,0.145988,0.293775,-2.362160,0.974683,2.151784,0.483442,-0.190085,0.977057,0.001123,0.002652,0.000256,0.002892,0.006413,-0.000010,-0.001362,0.006556,0.900000
52,-0.361181,0.494167,-0.790789,0.176645,0.236632,0.418897,0.127973,0.291523,-2.241020,0.912098,2.201954,0.431049,-0.168890,1.000613,0.001401,0.002539,0.000295,0.002915,0.006342,-0.000630,-0.001349,0.006515,0.818182
53,-0.407493,0.526302,-0.746295,0.129326,0.224478,0.420924,0.111477,0.288463,-2.140860,0.842478,2.229643,0.382522,-0.149807,1.023802,0.001610,0.002441,0.000307,0.002940,0.006226,-0.001063,-0.001415,0.006473,0.909091
54,-0.445651,0.564646,-0.694673,0.080179,0.212069,0.423585,0.096549,0.284605,-2.057569,0.767965,2.238953,0.337335,-0.132811,1.046305,0.001857,0.002273,0.000338,0.002954,0.006032,-0.001635,-0.001393,0.006403,0.909091
55,-0.464177,0.590170,-0.660484,0.049894,0.199773,0.426614,0.082784,0.280338,-2.014011,0.721464,2.237260,0.294583,-0.117279,1.067959,0.011993,-0.010752,0.005100,0.016895,-0.006416,-0.037407,0.019545,0.042690,0.909091
56,-0.464977,0.591433,-0.658790,0.048431,0.187903,0.429557,0.069542,0.276197,-2.012030,0.719209,2.237058,0.253394,-0.102342,1.088836,0.014903,-0.017865,0.006919,0.024272,-0.015847,-0.051372,0.029708,0.061423,0.909091
57,-0.464977,0.591433,-0.658790,0.048431,0.176449,0.432397,0.056764,0.272201,-2.012030,0.719209,2.237058,0.213650,-0.087929,1.108980,0.000730,-0.000919,0.000345,0.001223,-0.000852,-0.002564,0.001509,0.003095,0.909091
58,-0.454354,0.594732,-0.663216,0.050792,0.165573,0.435196,0.044351,0.268383,-2.027628,0.725108,2.223175,0.175007,-0.073911,1.128190,0.000443,0.001409,0.000384,0.001526,0.002508,-0.012865,-0.003572,0.013585,0.916667
59,-0.408997,0.608178,-0.680324,0.060812,0.155834,0.438128,0.032068,0.264865,-2.095382,0.748205,2.162823,0.136526,-0.059977,1.145726,0.001531,0.004500,0.001430,0.004964,0.007980,-0.041367,-0.011245,0.043605,0.916667
60,-0.356128,0.622610,-0.696799,0.072404,0.147302,0.441202,0.019920,0.261658,-2.176671,0.770925,2.090367,0.097972,-0.046128,1.161470,0.000476,0.000786,0.000653,0.001127,0.001323,-0.007817,-0.001639,0.008096,0.916667
61,-0.302020,0.636096,-0.710046,0.084232,0.139936,0.444397,0.007954,0.258749,-2.262292,0.789563,2.014084,0.059280,-0.032428,1.175448,0.000198,-0.000023,0.000446,0.000488,-0.000143,-0.000506,0.000429,0.000679,0.916667
62,-0.247707,0.648409,-0.719866,0.096128,0.133683,0.447688,-0.003785,0.256126,-2.350418,0.803609,1.935710,0.020413,-0.018944,1.187710,0.000131,-0.000124,0.000406,0.000445,-0.000350,0.000397,0.000687,0.000867,0.916667
63,-0.192866,0.659665,-0.726392,0.108220,0.128500,0.451053,-0.015255,0.253778,-2.441199,0.813057,1.855239,-0.018660,-0.005738,1.198306,0.000129,-0.000058,0.000440,0.000463,-0.000266,-0.000270,0.000543,0.000662,0.923077
64,-0.137989,0.669798,-0.729610,0.120457,0.124336,0.454471,-0.026417,0.251695,-2.533337,0.817751,1.773970,-0.057952,0.007129,1.207300,0.000087,-0.000090,0.000424,0.000442,-0.000357,0.000007,0.000631,0.000725,0.923077
65,-0.083090,0.678845,-0.729565,0.132892,0.121145,0.457922,-0.037235,0.249867,-2.626236,0.817686,1.692590,-0.097464,0.019600,1.214766,0.000069,-0.000065,0.000440,0.000450,-0.000355,-0.000254,0.000591,0.000735,0.923077
66,-0.028633,0.686775,-0.726306,0.145475,0.118876,0.461390,-0.047675,0.248286,-2.718536,0.812932,1.612463,-0.137177,0.031620,1.220792,0.000027,-0.000091,0.000418,0.000429,-0.000441,0.000002,0.000663,0.000796,0.923077
67,0.025372,0.693633,-0.719881,0.158261,0.117480,0.464856,-0.057708,0.246942,-2.809690,0.803631,1.534234,-0.177065,0.043142,1.225470,0.000009,-0.000065,0.000434,0.000439,-0.000445,-0.000257,0.000622,0.000807,0.923077
68,0.078577,0.699425,-0.710374,0.171220,0.116908,0.468306,-0.067306,0.245829,-2.898708,0.790029,1.458920,-0.217089,0.054126,1.228903,-0.000028,-0.000077,0.000417,0.000425,-0.000513,-0.000118,0.000662,0.000846,0.928571
69,0.130658,0.704172,-0.697904,0.184327,0.117107,0.471724,-0.076445,0.244937,-2.984800,0.772467,1.387335,-0.257201,0.064537,1.231199,-0.000063,-0.000086,0.000395,0.000409,-0.000576,0.000012,0.000690,0.000899,0.928571
70,0.181614,0.707934,-0.682529,0.197633,0.118029,0.475099,-0.085103,0.244261,-3.067886,0.751217,1.319672,-0.297354,0.074346,1.232463,-0.000080,-0.000057,0.000411,0.000422,-0.000588,-0.000241,0.000649,0.000909,0.928571
71,0.231135,0.710748,-0.664390,0.211110,0.119622,0.478418,-0.093262,0.243795,3.135641,0.726677,1.256384,-0.249002,0.083534,1.232800,-0.000115,-0.000064,0.000385,0.000407,-0.000653,-0.000103,0.000674,0.000944,0.928571
