rot_x,rot_y,rot_z,running_mean_x,running_mean_y,running_mean_z
0.490755,0.220120,-0.843034,0.000986,0.031993,0.061831
-0.853538,-0.496929,-0.156637,-0.004990,0.028294,0.060304
0.215673,0.897337,-0.385060,-0.003458,0.034329,0.057211
-0.756386,0.645620,-0.105142,-0.008650,0.038545,0.056091
0.837307,-0.051634,-0.544289,-0.002856,0.037927,0.051979
-0.524653,0.058450,-0.849307,-0.006406,0.038067,0.045848
-0.215731,-0.033720,-0.975870,-0.007820,0.037582,0.038944
0.649249,0.627583,0.429668,-0.003410,0.041542,0.041567
0.465322,0.241621,0.851525,-0.000285,0.042876,0.046966
0.346878,-0.553580,0.757116,0.002014,0.038926,0.051669
-0.796957,0.604022,-0.004138,-0.003243,0.042643,0.051302
0.725863,-0.687727,0.012428,0.001523,0.037870,0.051048
-0.041333,0.649565,-0.759181,0.001245,0.041842,0.045787
0.445786,-0.406182,0.797678,0.004113,0.038951,0.050638
0.898325,0.093056,0.429364,0.009845,0.039298,0.053065
-0.807423,0.199176,-0.555335,0.004639,0.040316,0.049190
-0.807281,-0.297338,-0.509791,-0.000500,0.038179,0.045652
0.255005,-0.393012,-0.883467,0.001107,0.035467,0.039809
0.534835,0.171321,0.827406,0.004443,0.036317,0.044731
0.470028,-0.475855,-0.743395,0.007335,0.033135,0.039836
0.402842,0.353162,0.844390,0.009776,0.035111,0.044803
0.265488,-0.547950,-0.793263,0.011345,0.031534,0.039661
0.811186,-0.264908,0.521346,0.016222,0.029726,0.042598
-0.075294,0.985179,0.154121,0.015668,0.035517,0.043274
-0.058995,-0.997827,0.029341,0.015218,0.029292,0.043190
0.566440,0.322543,0.758362,0.018519,0.031048,0.047473
0.588980,0.806042,-0.058300,0.021914,0.035661,0.046843
0.326480,-0.897898,0.295279,0.023716,0.030137,0.048313
-0.350854,-0.881063,-0.317222,0.021513,0.024777,0.046163
-0.600674,0.797316,0.058979,0.017874,0.029295,0.046238
0.705941,0.683854,0.184365,0.021875,0.033100,0.047041
0.192601,-0.977094,-0.090514,0.022862,0.027261,0.046246
0.507534,0.817987,-0.270751,0.025647,0.031805,0.044424
-0.204590,-0.165851,-0.964695,0.024332,0.030676,0.038658
-0.105953,0.312180,-0.944096,0.023591,0.032275,0.033074
-0.087599,-0.577575,0.811624,0.022963,0.028830,0.037472
-0.512244,-0.443980,0.735179,0.019956,0.026174,0.041392
-0.558993,0.817305,0.139785,0.016722,0.030593,0.041942
0.438609,-0.828732,-0.347600,0.019066,0.025819,0.039778
0.833130,0.523089,-0.179645,0.023563,0.028567,0.038565
-0.803839,-0.028670,0.594156,0.019017,0.028252,0.041618
0.882186,-0.467576,0.055860,0.023734,0.025543,0.041696
0.586222,0.764788,0.267288,0.026791,0.029560,0.042922
0.809456,-0.566206,0.155538,0.031022,0.026340,0.043531
0.582167,-0.752955,0.306822,0.033985,0.022150,0.044946
-0.573209,-0.465152,-0.674585,0.030738,0.019544,0.041098
-0.159989,-0.378227,0.911783,0.029723,0.017429,0.045730
-0.670545,0.612258,0.418938,0.026018,0.020576,0.047704
0.955449,-0.038361,-0.292653,0.030910,0.020266,0.045913
-0.651108,-0.757497,0.047510,0.027339,0.016194,0.045921
0.061732,-0.177337,-0.982212,0.027518,0.015186,0.040566
-0.787086,-0.448863,-0.423105,0.023297,0.012781,0.038164
0.772484,-0.427863,0.469256,0.027159,0.010510,0.040386
0.040495,-0.822692,-0.567043,0.027228,0.006237,0.037271
